Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
307,Kemar Roach,2,2,8,80,0,0,0,10,0,0,0
308,Abrar Kazi,1,1,2,21,0,0,0,10.5,0,0,0
309,RA Shaikh,1,1,1,11,0,0,0,11,0,0,0
310,Sean Abbott,2,2,5,57,0,0,0,11.4,0,0,0
311,VS Yeligati,2,2,5,59,0,0,0,11.8,0,0,0
312,Ben Rohrer,8,1,1,12,0,0,0,12,0,0,0
313,Ross Taylor,55,2,2,24,0,0,0,12,0,0,0
314,RR Bose,1,1,2,24,0,0,0,12,0,0,0
315,C Ganapathy,1,1,1,13,0,0,0,13,0,0,0
316,Abdur Razzak,1,1,2,29,0,0,0,14.5,0,0,0
317,Mashrafe Mortaza,1,1,4,58,0,0,0,14.5,0,0,0
318,Steve Smith,54,1,0.2,5,0,0,0,15,0,0,0
319,Michael Neser,1,1,4,62,0,0,0,15.5,0,0,0
